year,quarter,kelp_area_m2,count_cells_kelp,count_cells_no_clouds,count_cells_historic_footprint
1984,1,0,0,0,93419
1984,2,2693999,9265,92053,93419
1984,3,7790754,18849,79156,93419
1984,4,4308686,16496,92827,93419
1984,max,9180828,23675,93291,93419
1985,1,710596,2682,75571,93419
1985,2,18371392,29959,73920,93419
1985,3,24143918,41689,80611,93419
1985,4,8278183,29500,89785,93419
1985,max,27881795,47335,90278,93419
1986,1,158549,1973,93185,93419
1986,2,3385418,16532,92813,93419
1986,3,16106436,40253,91622,93419
1986,4,7428625,34416,92954,93419
1986,max,17196799,45793,93317,93419
1987,1,677339,5557,90381,93419
1987,2,5724843,21751,86851,93419
1987,3,22482209,49581,91852,93419
1987,4,7099035,16370,53323,93419
1987,max,23654629,50647,93101,93419
1988,1,616993,3166,91033,93419
1988,2,4486816,12726,90872,93419
1988,3,18103272,37828,90907,93419
1988,4,5980117,25995,93169,93419
1988,max,19390821,43206,93306,93419
1989,1,2989611,15922,93205,93419
1989,2,13697133,38646,92024,93419
1989,3,18445712,48762,92819,93419
1989,4,2606224,23041,93311,93419
1989,max,21509762,54205,93400,93419
1990,1,56070,700,93142,93419
1990,2,15636592,42611,92443,93419
1990,3,31861930,59442,92699,93419
1990,4,15957120,45072,88784,93419
1990,max,34361084,64055,93325,93419
1991,1,2961,9,656,93419
1991,2,14607049,45091,92586,93419
1991,3,17921348,34068,56516,93419
1991,4,1091161,4964,47714,93419
1991,max,26851961,55040,93149,93419
1992,1,14990,64,46389,93419
1992,2,8826039,35843,91919,93419
1992,3,22742023,56408,92532,93419
1992,4,4682940,20999,93356,93419
1992,max,23742071,59887,93361,93419
1993,1,274976,2971,93227,93419
1993,2,3800648,22293,92984,93419
1993,3,11293945,27815,74633,93419
1993,4,4123995,22552,93260,93419
1993,max,12787788,35951,93383,93419
1994,1,195422,1613,93273,93419
1994,2,6002496,22568,88865,93419
1994,3,17916689,39630,85871,93419
1994,4,5221591,21694,93284,93419
1994,max,19186832,45321,93370,93419
1995,1,246991,1114,91650,93419
1995,2,1675321,7307,84675,93419
1995,3,9665226,28813,92750,93419
1995,4,4927719,22029,93365,93419
1995,max,10216066,31769,93417,93419
1996,1,107846,1378,91164,93419
1996,2,2781841,17292,91590,93419
1996,3,6988403,14764,64044,93419
1996,4,4688410,17488,60956,93419
1996,max,10223792,27895,92061,93419
1997,1,300039,3438,90889,93419
1997,2,6646083,27714,89960,93419
1997,3,14188514,38280,90016,93419
1997,4,1210391,13931,91006,93419
1997,max,15431428,42027,91123,93419
1998,1,6914,105,91558,93419
1998,2,327281,2143,91190,93419
1998,3,2112716,8044,77174,93419
1998,4,1378047,10196,93094,93419
1998,max,2928188,13901,93284,93419
1999,1,318389,2293,93266,93419
1999,2,4730141,14668,88107,93419
1999,3,15585868,44543,93048,93419
1999,4,4377984,40230,93400,93419
1999,max,16475156,49684,93406,93419
2000,1,26545,235,93272,93419
2000,2,705107,5577,91025,93419
2000,3,12075161,40386,93024,93419
2000,4,6930980,34556,93305,93419
2000,max,13137941,44398,93400,93419
2001,1,731237,8138,93381,93419
2001,2,7938896,40768,93113,93419
2001,3,18811501,48034,92720,93419
2001,4,4295283,25480,93386,93419
2001,max,19941675,52797,93409,93419
2002,1,393194,4029,93399,93419
2002,2,8362998,34563,92574,93419
2002,3,18756614,51236,90568,93419
2002,4,5854383,41170,93379,93419
2002,max,20234107,55696,93411,93419
2003,1,17453,525,93384,93419
2003,2,880532,7394,93237,93419
2003,3,10566360,39705,92931,93419
2003,4,6055872,30622,93371,93419
2003,max,11325249,43339,93398,93419
2004,1,1354321,13142,93349,93419
2004,2,6887595,29632,93082,93419
2004,3,18544051,50301,93029,93419
2004,4,4821143,29442,93337,93419
2004,max,19471672,54523,93398,93419
2005,1,245637,4430,93301,93419
2005,2,3917085,20741,92836,93419
2005,3,17940571,46297,92468,93419
2005,4,10958190,38494,93326,93419
2005,max,18916620,50792,93413,93419
2006,1,191321,2876,93224,93419
2006,2,2887709,15420,92927,93419
2006,3,10736016,33828,91827,93419
2006,4,1504560,15595,93408,93419
2006,max,11214150,36857,93417,93419
2007,1,173995,2424,93406,93419
2007,2,3840002,22732,92551,93419
2007,3,16424077,47505,93091,93419
2007,4,7531003,33238,93190,93419
2007,max,17228161,49989,93417,93419
2008,1,59774,696,93364,93419
2008,2,3117455,21955,92915,93419
2008,3,20909005,54303,92905,93419
2008,4,6990664,34802,93398,93419
2008,max,21397443,56004,93417,93419
2009,1,2289110,21145,93260,93419
2009,2,10128740,44926,93062,93419
2009,3,21742679,54429,90595,93419
2009,4,3594918,38821,93305,93419
2009,max,23974915,61735,93409,93419
2010,1,319239,3079,93386,93419
2010,2,2578157,15288,93079,93419
2010,3,14461732,54067,92992,93419
2010,4,4715397,34343,93328,93419
2010,max,15557418,57328,93417,93419
2011,1,535122,8927,93328,93419
2011,2,1836849,10982,92884,93419
2011,3,6482924,26552,92948,93419
2011,4,1432602,13503,93328,93419
2011,max,7064524,31984,93354,93419
2012,1,311929,2821,93105,93419
2012,2,2084448,8879,85832,93419
2012,3,11273024,28057,88636,93419
2012,4,3274061,20193,92159,93419
2012,max,12104411,32795,93358,93419
2013,1,331951,4066,93093,93419
2013,2,10234571,34091,93300,93419
2013,3,19947000,47976,93330,93419
2013,4,5362285,32425,93419,93419
2013,max,21252084,50538,93419,93419
2014,1,172264,3256,93419,93419
2014,2,3283274,18505,93392,93419
2014,3,10267250,33903,93361,93419
2014,4,1222889,14790,93419,93419
2014,max,10698219,36336,93419,93419
2015,1,191823,3008,93416,93419
2015,2,8248266,31145,93403,93419
2015,3,16051476,48095,93416,93419
2015,4,1646327,17665,93419,93419
2015,max,17359002,49436,93419,93419
2016,1,238008,3192,93405,93419
2016,2,5470443,23515,93331,93419
2016,3,15837193,47190,93405,93419
2016,4,4584166,36163,93419,93419
2016,max,17127226,50989,93419,93419
2017,1,185089,3385,93419,93419
2017,2,853604,5286,93347,93419
2017,3,8662881,35810,93402,93419
2017,4,3985475,31532,93418,93419
2017,max,9298309,39749,93419,93419
2018,1,494423,7472,93412,93419
2018,2,10558455,34497,93398,93419
2018,3,20481084,51745,93326,93419
2018,4,2882124,27896,93419,93419
2018,max,21864335,53891,93419,93419
2019,1,127768,1628,93417,93419
