year,quarter,kelp_area_m2,count_cells_kelp,count_cells_no_clouds,count_cells_historic_footprint
1984,1,114759,401,35800,220913
1984,2,11239210,31612,217209,220913
1984,3,6195767,12504,79939,220913
1984,4,4002439,30169,196634,220913
1984,max,17736031,53224,220859,220913
1985,1,10750278,41632,182859,220913
1985,2,15423705,31417,125034,220913
1985,3,3744969,12891,207863,220913
1985,4,3112686,12480,214646,220913
1985,max,25054191,62589,220491,220913
1986,1,3156754,23415,219791,220913
1986,2,2090027,11824,217013,220913
1986,3,5419999,18177,172592,220913
1986,4,6749089,36344,220747,220913
1986,max,12310247,57317,220780,220913
1987,1,3101700,22045,220582,220913
1987,2,9454233,36319,214582,220913
1987,3,11524650,43734,200024,220913
1987,4,6030761,23543,153014,220913
1987,max,19477003,66934,220868,220913
1988,1,129333,1348,168932,220913
1988,2,1673428,7653,214918,220913
1988,3,8120971,25665,213244,220913
1988,4,6003507,25881,181006,220913
1988,max,12694048,44049,219369,220913
1989,1,11326391,50170,174912,220913
1989,2,9526292,43151,213282,220913
1989,3,4259766,23388,214491,220913
1989,4,10032568,49882,219401,220913
1989,max,23708173,92721,219918,220913
1990,1,5689537,35137,186011,220913
1990,2,22049868,64334,212879,220913
1990,3,11950489,38048,208424,220913
1990,4,2614296,12830,184601,220913
1990,max,30938167,88864,220778,220913
1991,1,561826,2288,66232,220913
1991,2,18600650,61866,213565,220913
1991,3,12640729,36031,201589,220913
1991,4,3718698,17847,188572,220913
1991,max,25178845,74243,220681,220913
1992,1,1083530,5464,189911,220913
1992,2,7274328,30127,218187,220913
1992,3,3908116,17489,198670,220913
1992,4,2454764,20559,220822,220913
1992,max,10427428,47985,220866,220913
1993,1,1878144,11817,220243,220913
1993,2,8547097,46005,217101,220913
1993,3,5426823,16097,202861,220913
1993,4,974384,10846,220773,220913
1993,max,11813907,54686,220852,220913
1994,1,1096251,11609,220657,220913
1994,2,23550204,72801,215563,220913
1994,3,16930024,55707,198004,220913
1994,4,3672271,25204,220547,220913
1994,max,31659553,92887,220871,220913
1995,1,2575524,14356,210038,220913
1995,2,2108963,12907,197802,220913
1995,3,2848465,12862,185554,220913
1995,4,1722628,10264,187603,220913
1995,max,6857646,33621,220844,220913
1996,1,952628,7698,194293,220913
1996,2,2614861,16135,217600,220913
1996,3,1184546,5817,157599,220913
1996,4,2587381,22565,219117,220913
1996,max,5485665,36395,220874,220913
1997,1,3830448,27547,219391,220913
1997,2,6820080,32919,216644,220913
1997,3,2280132,10362,209169,220913
1997,4,83930,1295,220425,220913
1997,max,9536321,46550,220872,220913
1998,1,212862,2886,219816,220913
1998,2,1033263,6384,218603,220913
1998,3,2612498,7427,215625,220913
1998,4,1737485,10581,220230,220913
1998,max,4015066,16679,220680,220913
1999,1,7307992,33415,219683,220913
1999,2,12160378,27867,179199,220913
1999,3,10611795,42360,217067,220913
1999,4,3631132,44586,220816,220913
1999,max,22097330,75330,220870,220913
2000,1,2016118,21715,220547,220913
2000,2,2830360,18211,216724,220913
2000,3,4542282,22687,217284,220913
2000,4,3708599,33327,220784,220913
2000,max,8568531,50927,220910,220913
2001,1,4722475,30623,220821,220913
2001,2,8230619,35405,216263,220913
2001,3,5207293,26742,217221,220913
2001,4,5618340,40325,220651,220913
2001,max,13082423,58308,220858,220913
2002,1,6897359,44373,220847,220913
2002,2,13512486,51724,216386,220913
2002,3,13200191,44930,199020,220913
2002,4,8031240,58429,220860,220913
2002,max,23369065,88347,220876,220913
2003,1,2211288,25470,220783,220913
2003,2,10995404,50012,219095,220913
2003,3,32480336,84543,217278,220913
2003,4,13063228,88684,220889,220913
2003,max,39208876,120776,220896,220913
2004,1,6642573,59255,220880,220913
2004,2,15725374,63609,217746,220913
2004,3,30074569,86886,217784,220913
2004,4,5950332,57728,220859,220913
2004,max,37133078,120398,220896,220913
2005,1,5906069,54269,220882,220913
2005,2,17037536,84191,219176,220913
2005,3,32979565,104059,218981,220913
2005,4,11978049,87232,220398,220913
2005,max,38519493,128951,220910,220913
2006,1,4730028,36172,220760,220913
2006,2,10420415,45373,218192,220913
2006,3,6342212,25332,205495,220913
2006,4,6024918,47254,220891,220913
2006,max,18648277,86851,220913,220913
2007,1,9726908,59023,220868,220913
2007,2,21386549,85355,216868,220913
2007,3,12628241,56514,218618,220913
2007,4,6085717,44183,220242,220913
2007,max,31215562,117671,220913,220913
2008,1,4005742,34219,220778,220913
2008,2,8869974,49255,218669,220913
2008,3,14846322,44827,199195,220913
2008,4,11695806,63571,220449,220913
2008,max,24122618,97384,220911,220913
2009,1,13236326,96319,220869,220913
2009,2,12210849,55237,215287,220913
2009,3,5724368,48758,218701,220913
2009,4,2342011,28304,220410,220913
2009,max,20064847,112615,220884,220913
2010,1,3371750,30605,220797,220913
2010,2,7711025,39375,217995,220913
2010,3,23305871,92264,218250,220913
2010,4,7644638,74576,220891,220913
2010,max,27840682,114262,220907,220913
2011,1,1348706,21782,220890,220913
2011,2,4398640,28249,218703,220913
2011,3,12598837,45606,216739,220913
2011,4,8896428,54805,220608,220913
2011,max,17914840,77895,220893,220913
2012,1,3648887,24892,207656,220913
2012,2,6160580,29429,198298,220913
2012,3,4830992,22877,194978,220913
2012,4,1786245,19757,220520,220913
2012,max,11508918,56879,220856,220913
2013,1,7494614,43063,216300,220913
2013,2,20573405,83820,220607,220913
2013,3,13106797,60607,218788,220913
2013,4,8356388,61589,220911,220913
2013,max,27625323,107086,220913,220913
2014,1,3725599,36192,220912,220913
2014,2,5658228,38093,220727,220913
2014,3,3956333,23864,220461,220913
2014,4,726574,12865,220913,220913
2014,max,9642876,63419,220913,220913
2015,1,1146181,12595,220907,220913
2015,2,6236674,37945,220867,220913
2015,3,8597543,43641,220783,220913
2015,4,158643,3389,220913,220913
2015,max,11358313,54381,220913,220913
2016,1,1625169,13169,220905,220913
2016,2,5586730,26875,220673,220913
2016,3,6541141,30291,219779,220913
2016,4,2624066,28164,220913,220913
2016,max,11597183,55297,220913,220913
2017,1,2447306,20902,220911,220913
2017,2,6523882,36024,220873,220913
2017,3,8824612,33681,220759,220913
2017,4,1683294,20595,220913,220913
2017,max,13256549,57456,220913,220913
2018,1,3293588,30646,220913,220913
2018,2,13550876,53845,219698,220913
2018,3,5884550,35212,220834,220913
2018,4,374146,6666,220908,220913
2018,max,16008709,65172,220913,220913
2019,1,779254,7492,220913,220913
2019,2,2854913,12518,206796,220913
2019,3,5141095,25718,220350,220913
2019,4,1861317,19789,220911,220913
2019,max,7362678,37310,220913,220913
2020,1,3897955,25887,220913,220913
2020,2,7604316,32284,220815,220913
2020,3,7131203,29916,219660,220913
2020,4,1682009,17622,220913,220913
2020,max,12000944,49389,220913,220913
2021,1,4858392,32022,220913,220913
2021,2,12179080,38287,220718,220913
2021,3,2358463,11550,186890,220913
2021,4,1723246,21317,220911,220913
2021,max,14130053,49330,220913,220913
2022,1,2952736,26076,220913,220913
2022,2,7139962,36014,220797,220913
2022,3,5724963,29468,220741,220913
2022,4,1282615,11585,220913,220913
2022,max,10585297,47738,220913,220913
2023,1,249960,2929,220913,220913
2023,2,867414,5313,219887,220913
2023,3,5494747,18025,220746,220913
2023,4,2206636,16025,220895,220913
2023,max,7001203,28286,220913,220913
2024,1,698278,7492,220913,220913
2024,2,4738521,21528,220882,220913
2024,3,9181063,34557,220523,220913
2024,4,3827717,29819,220913,220913
2024,max,12108011,46463,220913,220913
