Year,Trinidad Bay (°F),Pacific Grove (°F),La Jolla (°F)
1916,,,60.15527273
1917,,,62.13688742
1918,,,63.29320388
1919,,54.92498403,62.25805825
1920,,54.59869159,61.83711911
1921,,54.038,61.76520124
1922,,53.22114286,61.75921824
1923,,53.84477707,63.18990099
1924,,52.90006369,61.58625407
1925,,53.93872204,62.65819178
1926,,54.49190311,64.5459726
1927,,54.18700637,62.38449315
1928,,54.28433962,62.14114754
1929,,55.18547945,62.97331507
1930,,56.28318681,63.44906593
1931,,56.8541573,65.32564384
1932,,55.03114754,61.37994521
1933,,53.92547945,60.21413699
1934,,55.93161644,63.59371901
1935,,54.81526012,62.10536986
1936,,56.12934426,63.72672131
1937,,55.54078212,62.7070137
1938,,55.85098901,62.04668493
1939,,55.72727273,62.98021918
1940,,,63.2595082
1941,,58.05846154,63.81216438
1942,,55.56915068,62.65227397
1943,,55.91583562,62.62958904
1944,,55.66409836,61.69409836
1945,,55.66284932,61.93473973
1946,,55.01189041,62.34356164
1947,,55.76,62.42246575
1948,,55.14868852,60.95196721
1949,,54.93813187,61.78728767
1950,,55.3260274,61.55205479
1951,,55.24860274,61.96446927
1952,,54.99672131,61.38226519
1953,,54.92016438,61.30528926
1954,,55.34821918,62.46550562
1955,,54.05616438,61.76464088
1956,,54.85901639,61.50081967
1957,,56.74728767,63.2738843
1958,,58.20306849,64.14640884
1959,,56.70684932,65.12694215
1960,,55.60557377,61.93262295
1961,,55.48531507,61.77939726
1962,,54.68887671,61.2650411
1963,,56.19939726,62.55906849
1964,,54.89688525,61.59327869
1965,,56.03172603,61.77791781
1966,,55.79867769,62.65178082
1967,,55.81326027,62.50827397
1968,,55.55836066,62.51
1969,,55.88526027,62.00476712
1970,,55.36745205,61.98879121
1971,,54.29386301,61.17035616
1972,,56.21,62.40819672
1973,51.2584,55.42958904,61.64032877
1974,51.15686833,55.33835616,61.67972527
1975,50.31638462,52.937,59.98284932
1976,50.82578199,,63.08491803
1977,51.79686411,57.21173913,63.07786301
1978,51.84712727,56.19815126,63.40826446
1979,52.17698113,56.24659341,62.34790055
1980,51.95462555,55.89735537,61.93364903
1981,52.88085714,56.18361644,63.73192308
1982,52.45461883,56.73052055,62.88044199
1983,55.08285714,58.67699387,64.37181319
1984,52.41744186,56.31032787,64.94936986
1985,52.11170732,55.4182967,63.02527473
1986,53.86969283,56.41769231,63.91340659
1987,53.48610909,56.99632877,63.63351648
1988,53.0955157,55.48606557,62.6433795
1989,52.77494424,55.19966942,62.96394521
1990,52.62626506,55.16871233,64.22895028
1991,51.56837736,54.72438356,62.56231405
1992,54.7940458,57.80824176,64.89263158
1993,53.59148649,58.09850829,65.07719512
1994,53.63157895,55.55346821,64.56792683
1995,54.84375,55.45694915,63.97755102
1996,51.85285714,54.99114286,64.24554455
1997,53.34993289,56.94082111,66.79023256
1998,52.96926829,56.26930636,64.50926518
1999,51.48924528,54.92466019,61.74181303
2000,53.54540984,57.5380198,63.7852149
2001,52.59480519,57.90115702,63.3545961
2002,52.83214286,57.27,63.3045
2003,53.99394286,56.61808219,63.88464286
2004,53.94851064,56.18312329,65.03719008
2005,54.6073494,56.2906044,64.92893855
2006,52.97588785,56.29604396,64.64705882
2007,52.61683544,55.32236264,63.75941176
2008,51.35045226,54.99278689,63.93587209
2009,51.43485714,55.5099726,64.70121387
2010,51.98778846,55.69342466,62.99068182
2011,52.827109,55.55682192,62.62694915
2012,53.45208696,55.3842623,63.79847458
2013,52.25559809,55.03112329,63.66474576
2014,55.26385787,58.02356164,67.01870968
2015,55.33793103,58.09260274,67.25352941
2016,54.7475,57.0357377,65.60226415
2017,52.93755814,56.40631868,65.46385382
2018,52.56281938,56.85084932,66.34864516
2019,53.26833333,56.95342466,65.62711538
2020,52.6750495,56.56655738,65.20539773
2021,53.22536585,55.8329863,64.13
2022,53.0384507,55.44783562,64.92175342
2023,53.1687013,56.54267409,63.72803371
