lat,month,yr1988,yr1989,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010
47.34,Jan,8.394,9.133,8.903,9.284,8.906,7.689,8.825,8.719,9.493,8.664,12.193,9.15,9.078,9.568,9.329,10.671,9.692,9.037,11.102,9.288,8.305,8.071,9.834
47.34,Feb,8.245,7.947,7.445,8.896,9.752,8.152,8.277,9.591,8.642,8.26,12.219,8.86,8.704,9.142,8.804,9.689,9.048,8.728,10.01,9.147,7.745,7.656,10.164
47.34,Mar,9.002,7.98,8.819,8.565,10.993,8.996,9.585,9.717,9.612,8.746,11.687,9.562,9.271,9.046,8.845,9.871,9.451,9.799,9.796,9.645,8.213,8.249,10.173
47.34,Apr,10.326,10.336,10.137,9.852,11.489,10.793,10.971,10.873,10.574,9.904,11.476,10.459,9.714,9.34,9.345,10.125,10.505,10.36,10.706,10.126,8.82,8.941,10.302
47.34,May,12.334,12.131,10.849,11.138,12.13,13.583,12.424,11.935,11.536,12.978,12.285,10.243,11.59,10.8,10.945,11.843,12.645,12.85,11.577,11.063,10.399,10.948,10.734
47.34,Jun,12.784,13.43,13.282,11.604,12.722,14.868,14.058,12.338,12.427,13.341,12.789,11.232,12.898,12.598,13.303,13.044,14.153,14.335,14.056,13.784,11.447,13.986,12.847
47.34,Jul,12.397,15.113,13.763,13.059,14.609,14.224,12.395,15.215,12.878,12.123,13.835,12.594,13.724,12.797,13.907,14.554,14.834,14.798,13.879,15.971,12.817,13.397,12.642
47.34,Aug,12.352,13.984,14.638,13.68,14.114,15.418,16.851,13.733,11.965,13.456,13.97,14.707,14.086,13.966,12.88,14.563,15.701,13.678,12.925,14.387,14.305,14.512,13.158
47.34,Sep,11.61,13.252,16.8,13.628,12.173,12.66,12.234,14.711,14.668,16.904,12.37,12.354,13.93,13.801,13.76,13.351,15.548,13.35,12.836,12.792,13.604,14.919,13.288
47.34,Oct,12.62,12.47,12.785,11.198,12.361,11.673,11.516,14.569,12.588,14.512,12.635,11.235,12.207,11.494,10.682,13.041,13.459,13.6,12.003,11.946,12.185,11.792,13.275
47.34,Nov,11.337,10.732,11.483,9.886,11.235,10.421,10.608,11.498,10.3,12.901,11.902,11.041,10.477,10.435,11.238,11.17,11.293,11.854,11.03,10.651,11.192,11.387,11.445
47.34,Dec,10.29,9.21,9.666,9.309,8.936,8.54,8.704,10.481,9.309,12.606,10.426,10.313,9.46,9.901,10.767,10.466,9.711,9.699,10.788,9.355,9.713,9.191,9.785
41.85,Jan,10.288,8.73,10.144,8.764,10.366,10.072,11.219,10.598,11.861,11.038,12.298,9.726,10.029,10.726,10.299,11.576,10.943,11.063,11.533,9.918,9.655,9.547,11.062
41.85,Feb,9.996,8.838,9.267,10.051,11.344,10.555,10.773,11.222,11.829,10.928,12.127,9.518,10.863,9.923,10.113,11.275,10.909,11.312,10.664,10.118,9.381,9.533,11.261
41.85,Mar,10.153,9.381,9.669,9.863,12.466,11.198,10.791,11.441,10.791,10.178,11.277,9.703,10.136,9.799,9.488,11.239,10.654,12.045,10.222,10.104,9.445,9.756,11.172
41.85,Apr,9.393,10.639,10.531,9.546,12.585,11.556,10.283,11.588,11.873,10.448,10.808,9.09,10.309,9.912,9.335,11.428,10.792,11.749,10.761,10.286,8.815,8.547,10.649
41.85,May,11.298,10.24,9.014,8.663,11.103,11.49,10.242,10.483,9.69,12.362,11.219,8.672,11.743,9.131,9.357,10.879,11.709,13.228,10.159,9.017,9.023,9.391,10.793
41.85,Jun,11.88,9.303,11.753,8.604,10.77,12.432,9.894,11.165,9.166,11.597,11.454,8.841,9.976,9.596,9.729,9.899,10.773,11.352,11.144,9.951,8.889,11.419,10.019
41.85,Jul,9.807,10.488,12.252,10.119,12.926,10.907,9.985,12.847,10.702,11.973,11.536,10.071,11.124,10.458,10.748,11.726,12.134,11.819,10.922,12.648,10.445,10.798,10.034
41.85,Aug,11.003,10.68,12.042,11.846,13.006,12.134,11.696,11.797,11.969,12.993,11.663,12.444,10.903,11.409,10.922,12.781,13.06,11.811,11.099,12.534,11.712,11.54,11.165
41.85,Sep,9.911,11.256,14.329,11.285,11.396,10.983,11.976,13.13,11.677,14.913,11.558,10.597,11.189,11.021,11.095,11.062,11.315,11.03,10.739,11.486,10.534,12.762,11.229
